pl_name,pl_orbper,pl_orbsmax,pl_Erad,pl_Emass,pl_orbeccen,pl_insol,eq_temp,pl_inclin,pl_albedo,star_spect,st_teff,st_rad,st_mass,Probability,ESI
K2-72 d,7.760178,0.0503025,1.01,1.01,0.11,7966.038568,395.39868,89.26,0.3,M4,3360.47,0.33,0.27,67.74449145841143,49.911318
Kepler-1285 b,14.796746,0.1268,0.97,0.871,0.0,256035.6264,943.60467,89.48,0.3,F9,6170.0,1.28,1.2,48.61330442453003,30.028264
Kepler-520 c,5.2110426,0.0594,1.07,1.24,0.0,1247285.92,1401.8659,83.02,0.3,G0,6112.0,1.09,1.1,54.04395689697557,29.402848999999996
EPIC 201170410.02,6.7987,0.0349,1.047,1.15,0.0,14056.8512,456.75888,89.002,0.3,M2,3648.0,0.28,0.29,67.90102275673509,41.742203
Kepler-780 b,0.67737516,0.015,0.89,0.64,0.0,6285739.664,2100.41,87.38,0.3,G3,5769.0,1.02,1.01,53.2832384209797,29.200203000000002
GJ 1002 c,21.202,0.0738,1.1,1.36,nan,351.09624,181.58147,nan,0.3,M5,3024.0,0.14,0.12,69.1334371289323,58.171525
Kepler-1934 b,1.41976,0.0245,0.913,0.702,0.0,2905405.4,1731.8755,83.77,0.3,G1,5925.0,1.04,0.97,53.37423583831998,29.282335
Kepler-1578 b,1.4508869,0.0252,1.04,1.12,0.0,1464663.4239999999,1459.3163,86.85,0.3,G7,5545.0,0.86,0.9,54.058794089419685,29.406900000000004
Kepler-1505 b,30.860937,0.1862,0.93,0.749,0.0,55281.46632,643.22049,88.4,0.3,G4,5686.0,0.86,0.93,53.447637579299005,32.636108
Kepler-1607 b,13.647368,0.1075,0.92,0.721,0.0,602173.9728,1168.5451,86.47,0.3,F9,6116.0,1.21,1.14,48.39916728520046,29.546369
YZ Cet d,4.65626,0.02857985,1.03,1.09,0.07,3677.994744,326.37578,nan,0.3,M4,3151.0,0.16,0.14,68.78173740007755,67.449052
Kepler-1409 b,0.76486493,0.0152,1.04,1.12,0.0,2227674.56,1620.6078,87.31,0.3,K1,5160.0,0.79,0.83,54.858900042507116,29.362
Kepler-59 b,11.868171,0.104,1.1,1.37,0.0,265138.1608,951.88184,86.93,0.3,G0,6074.0,0.94,1.04,54.16837614515703,29.930077
Kepler-1173 b,0.7698536,0.0157,0.89,0.64,0.0,2026467.32,1582.7047,80.42,0.3,K0,5252.0,0.82,0.86,54.334679105275015,29.264349
Kepler-115 b,2.403679,0.036,1.09,1.32,0.0,1741541.88,1523.8719,80.55,0.3,G1,5979.0,1.21,1.07,54.115735711380374,29.334042
Kepler-374 b,1.897806,0.029,1.03,1.08,0.0,3039085.512,1751.462,87.55,0.3,G1,5977.0,0.91,1.04,53.871268395225364,29.344852999999997
Kepler-1423 b,23.955378,0.1586,1.06,1.2,0.0,16327.9832,474.18533,89.12,0.3,K2,4939.0,0.75,0.79,57.37824170649098,40.127545999999995
Kepler-376 b,4.920199,0.057,1.07,1.24,0.0,952333.7984000001,1310.4253,88.48,0.3,G1,5900.0,1.18,1.06,54.043964243791415,29.45046
Kepler-1561 b,1.005207,0.0194,1.09,1.32,0.0,3450924.3839999996,1808.0017,88.34,0.3,G1,5957.0,1.11,1.07,54.14531418819043,29.279452
Kepler-1689 b,8.483,0.0798,0.947,0.799,0.0,205841.58959999998,893.50763,88.5,0.3,G3,5731.43,1.0,1.02,53.55434132308914,30.191022
Kepler-119 c,4.125103,0.049,0.92,0.721,0.0,520171.7392,1126.5531,88.65,0.3,G6,5595.0,0.84,0.92,53.43532540041666,29.596432
Kepler-2001 b,1.090011,0.0197,1.04,1.12,0.0,996796.3872,1325.4599,83.71,0.3,K1,5081.0,0.77,0.86,55.81297323990505,29.468383
Kepler-332 c,15.995622,0.114,1.09,1.32,0.0,27272.7668,539.07263,89.86,0.3,K2,4955.0,0.72,0.8,57.67140355220474,35.934156
K2-223 b,0.50557,0.0127,0.89,0.64,nan,7779137.848,2215.3781,89.7,0.3,G2,5859.0,1.0,1.06,53.30157628874405,29.194341
Kepler-1956 b,5.9437199,0.0563,1.089,1.32,0.0,38683.174960000004,588.29548,89.54,0.3,K5,4391.0,0.68,0.67,62.53864617648689,34.023649999999996
Kepler-1365 b,7.6999348,0.075,0.92,0.721,0.0,643304.1944,1188.0072,89.92,0.3,G3,5770.0,1.05,1.0,53.39916783660124,29.526055
Kepler-398 b,4.081423,0.044,0.93,0.749,0.0,108550.93232,761.41841,82.74,0.3,K5,4493.0,0.61,0.65,58.45230078468701,30.99155
